Index,Name,Team,LP,GP,W%,OE Rating,Split,,,,,
107,JayJ,DIG,10,4,0.5,B+,Spring 2,,,,,
108,Jelly,ISG,40,10,0.4,C-,Spring 2,,,,,
109,Grell,EST,10,7,0.43,B,Spring 2,,,,,
110,CaD,AK,10,1,1,A-,Spring 2,,,,,
111,Stunt,-,20,13,0.38,B-,Spring 2,,,,,
112,Svenskeren,C9,15,5,0.4,C+,Spring 2,,,,,
113,Busio,100,25,8,0.38,C,Spring 2,,,,,
114,Lyg,EST,20,20,0.35,C,Spring 2,,,,,
115,Srtty,EG,20,8,0.38,C+,Spring 2,,,,,
116,Joey,IMT,15,11,0.36,C+,Spring 2,,,,,
117,Soligo,EG,5,8,0.38,B,Spring 2,,,,,
118,Smoothie,-,15,14,0.36,C,Spring 2,,,,,
119,Oddie,R7,5,2,0.5,B,Spring 2,,,,,
120,Licorice,GG,10,8,0.38,B-,Spring 2,,,,,
121,Vulcan,EG,10,2,0.5,B,Spring 2,,,,,
122,Akaadian,GG,5,2,0.5,B,Spring 2,,,,,
123,Biofrost,DIG,0,4,0.25,B-,Spring 2,,,,,
124,Perry,EGP,0,4,0.25,B,Spring 2,,,,,
125,Fix,GET,0,4,0.25,B,Spring 2,,,,,
126,Dec0y,TA,0,2,0,C,Spring 2,,,,,
127,Kz,INF,0,7,0.14,C,Spring 2,,,,,
128,Sword,100X,0,13,0.31,C,Spring 2,,,,,
129,JimieN,100,0,3,0,C,Spring 2,,,,,
130,Darshan,C9,0,10,0.2,C-,Spring 2,,,,,
131,baekho,SN,0,2,0,B-,Spring 2,,,,,
132,Gryffinn,NOT,0,2,0,C+,Spring 2,,,,,
133,Seranok,BSC,15,9,0.33,C+,Spring 2,,,,,
134,Ariendel,SN,10,21,0.33,C,Spring 2,,,,,
135,huhi,100,15,13,0.31,C-,Spring 2,,,,,
136,Hyper,TSM,5,4,0.25,C+,Spring 2,,,,,
137,Tony Top,GG,0,20,0.25,C-,Spring 2,,,,,
138,Jauny,INF,0,1,0,B,Spring 2,,,,,
139,dtro18,UCI,0,1,0,B-,Spring 2,,,,,
140,Lunar2,3P,0,1,0,B-,Spring 2,,,,,
141,Violet,GG,0,1,0,B,Spring 2,,,,,
142,Dimitry,AZE,0,4,0,C-,Spring 2,,,,,
143,Spawn,DIG,0,4,0,C,Spring 2,,,,,
144,k1ng,C9,15,6,0.33,B,Spring 2,,,,,
145,Gweiss,-,20,9,0.33,C,Spring 2,,,,,
146,Tempos,ISU,0,2,0,C,Spring 2,,,,,
147,Yeon,TL,5,3,0.33,B,Spring 2,,,,,
148,Danny,EG,0,1,0,B,Spring 2,,,,,
149,Saico,SN,0,1,0,B-,Spring 2,,,,,
150,Lonely,AZE,5,3,0.33,B-,Spring 2,,,,,
151,Messages,3P,5,6,0.17,C-,Spring 2,,,,,
152,Keine,XTN,15,16,0.31,C-,Spring 2,,,,,
153,Azog,MU,0,1,0,B-,Spring 2,,,,,
154,Vakin,GTC,0,5,0,C-,Spring 2,,,,,
155,Archer,XTN,0,11,0.27,C,Spring 2,,,,,
156,Munchy,3P,0,1,0,B-,Spring 2,,,,,
157,Abbedagge,100,0,5,0,C,Spring 2,,,,,
158,Hauntzer,-,0,1,0,B,Spring 2,,,,,
159,Horus,XTN,0,5,0.2,C+,Spring 2,,,,,
160,Winsome,C9,0,1,0,B-,Spring 2,,,,,
161,Slow,R7,0,1,0,B,Spring 2,,,,,
162,Daiky,R7,0,3,0.33,B,Spring 2,,,,,
163,Spica,TSM,10,3,0.33,B,Spring 2,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
